Francês,Português
partie,papel
histoire,história
chercher,procurar
seulement,só
police,polícia
pensais,pensei
aide,assistência
demande,solicitar
genre,Gênero sexual
mois,mês
frère,irmão
laisser,deixar 
car,Porque
mettre,colocar
aucun,Nenhum
laisse,coleira
eux,eles
ville,cidade
chaque,cada
arrivé,vir
devrait,devemos
bébé,bebê
longtemps,muito tempo
heures,horas
vont,estão indo
pendant,no decorrer
revoir,encontrar de novo
aucune,Nenhum
place,quadrado
parle,falar
compris,Entendido
savais,sabia
étaient,nós estamos
attention,Aviso
voici,aqui está
pourrais,poderia
affaire,caso
donner,dar
type,Gentil
leurs,deles
donné,dado
train,Comboio
corps,corpo
endroit,"Lugar, colocar"
yeux,olhos
façon,maneira
écoute,ouço
dont,de quem
trouve,achar
premier,primeiro
perdu,perdido
main,mão
première,primeiro
côté,lateral
pouvoir,potência
vieux,velho
sois,ser
tiens,levar
matin,manhã
tellement,tanto
enfant,filho
point,apontar
venu,veio
suite,Segue
pardon,desculpa
venez,vir
devant,antes de
vers,vermes
minutes,minutos
demandé,solicitar
chambre,sala
mis,colocar
belle,bonito
droit,direita
aimerais,gostaria de
aujourd'hui,hoje
mari,marido
cause,causa
enfin,finalmente
espère,esperança
eau,água
attendez,esperar
parti,deixei
nouvelle,Novo
boulot,show
arrêter,Pare
dirait,diria
terre,terra
compte,conta
donne,dado
loin,longe
fin,fim
croire,acreditam
chérie,caro
gros,ampla
plutôt,em vez de
aura,terá
filles,garotas
jouer,jogador
bureau,mesa